model_name,model_size,fine_tuned_dataset,fine_tuned_language,eval_dataset,eval_language,regime,score_mean,score_std,score_base_mean,score_base_std,score_norm_mean,score_norm_std,score_norm_base_mean,score_norm_base_std,delta_score_mean,delta_score_std,delta_score_norm_mean,delta_score_norm_std,n_seeds,score_se,score_base_se,score_norm_se,score_norm_base_se,delta_score_se,delta_score_norm_se
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,truthfulqa,bn,CT-CL,0.2925,0.0108972473588516,0.2891666666666666,0.017017148213885,0.2925,0.0108972473588516,0.2891666666666666,0.017017148213885,0.3333333333333336,0.6291528696058963,0.3333333333333336,0.6291528696058963,3,0.0062915286960589,0.0098248551021263,0.0062915286960589,0.0098248551021263,0.3632415786283898,0.3632415786283898
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,truthfulqa,de,CT-CL,0.3641666666666667,0.0062915286960589,0.3608333333333333,0.0028867513459481,0.3641666666666667,0.0062915286960589,0.3608333333333333,0.0028867513459481,0.3333333333333336,0.7216878364870328,0.3333333333333336,0.7216878364870328,3,0.0036324157862838,0.0016666666666666,0.0036324157862838,0.0016666666666666,0.4166666666666671,0.4166666666666671
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,truthfulqa,en,CT-CL,0.4041666666666666,0.0038188130791298,0.4116666666666666,0.0028867513459481,0.4041666666666666,0.0038188130791298,0.4116666666666666,0.0028867513459481,-0.749999999999997,0.4330127018922165,-0.749999999999997,0.4330127018922165,3,0.0022047927592204,0.0016666666666666,0.0022047927592204,0.0016666666666666,0.2499999999999984,0.2499999999999984
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,truthfulqa,es,CT-CL,0.3974999999999999,0.0360555127546398,0.3974999999999999,0.0313249102153541,0.3974999999999999,0.0360555127546398,0.3974999999999999,0.0313249102153541,-1.8503717077085944e-15,0.7499999999999979,-1.8503717077085944e-15,0.7499999999999979,3,0.0208166599946613,0.0180854453451755,0.0208166599946613,0.0180854453451755,0.4330127018922181,0.4330127018922181
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,truthfulqa,fr,CT-CL,0.4041666666666666,0.0104083299973306,0.4008333333333334,0.0128290035986171,0.4041666666666666,0.0104083299973306,0.4008333333333334,0.0128290035986171,0.3333333333333317,0.6291528696058935,0.3333333333333317,0.6291528696058935,3,0.0060092521257733,0.0074068286810963,0.0060092521257733,0.0074068286810963,0.3632415786283881,0.3632415786283881
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,truthfulqa,hi,CT-CL,0.3108333333333333,0.0038188130791298,0.3083333333333333,0.0038188130791298,0.3108333333333333,0.0038188130791298,0.3083333333333333,0.0038188130791298,0.2500000000000002,0.2500000000000002,0.2500000000000002,0.2500000000000002,3,0.0022047927592204,0.0022047927592204,0.0022047927592204,0.0022047927592204,0.1443375672974065,0.1443375672974065
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,truthfulqa,id,CT-CL,0.3658333333333333,0.0194186336628851,0.3666666666666667,0.0160727512683216,0.3658333333333333,0.0194186336628851,0.3666666666666667,0.0160727512683216,-0.0833333333333334,0.8036375634160804,-0.0833333333333334,0.8036375634160804,3,0.0112113533725614,0.0092796072713833,0.0112113533725614,0.0092796072713833,0.463980363569169,0.463980363569169
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,truthfulqa,it,CT-CL,0.3641666666666667,0.0341259920490721,0.3658333333333334,0.0250416320021945,0.3641666666666667,0.0341259920490721,0.3658333333333334,0.0250416320021945,-0.1666666666666668,0.9464847243000464,-0.1666666666666668,0.9464847243000464,3,0.0197026506958948,0.0144577929774145,0.0197026506958948,0.0144577929774145,0.5464532103585006,0.5464532103585006
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,truthfulqa,pt,CT-CL,0.3625,0.0283945417290013,0.3608333333333333,0.026731691553909,0.3625,0.0283945417290013,0.3608333333333333,0.026731691553909,0.1666666666666668,0.2886751345948131,0.1666666666666668,0.2886751345948131,3,0.016393596310755,0.0154335493145434,0.016393596310755,0.0154335493145434,0.1666666666666668,0.1666666666666668
Llama-3.1-8B-Instruct,8.0,arc_challenge,ar,truthfulqa,zh,CT-CL,0.35,0.016393596310755,0.3483333333333333,0.0175594229214212,0.35,0.016393596310755,0.3483333333333333,0.0175594229214212,0.1666666666666668,0.1443375672974065,0.1666666666666668,0.1443375672974065,3,0.0094648472430004,0.010137937550497,0.0094648472430004,0.010137937550497,0.0833333333333334,0.0833333333333334
